,values,times
0,175.08,01/11/2022
1,175.53,01/12/2022
2,172.19,01/13/2022
3,173.07,01/14/2022
4,169.8,01/15/2022
5,169.8,01/16/2022
6,169.8,01/17/2022
7,169.8,01/18/2022
8,166.23,01/19/2022
9,164.51,01/20/2022
10,162.41,01/21/2022
11,161.62,01/22/2022
12,161.62,01/23/2022
13,161.62,01/24/2022
14,159.78,01/25/2022
15,159.69,01/26/2022
16,159.22,01/27/2022
17,170.33,01/28/2022
18,174.78,01/29/2022
19,174.78,01/30/2022
20,174.78,01/31/2022
21,174.61,02/01/2022
22,175.84,02/02/2022
23,172.9,02/03/2022
24,172.39,02/04/2022
25,171.66,02/05/2022
26,171.66,02/06/2022
27,171.66,02/07/2022
28,174.83,02/08/2022
29,176.28,02/09/2022
30,172.12,02/10/2022
31,168.64,02/11/2022
32,168.88,02/12/2022
33,168.88,02/13/2022
34,168.88,02/14/2022
35,172.79,02/15/2022
36,172.55,02/16/2022
37,168.88,02/17/2022
38,167.3,02/18/2022
39,164.32,02/19/2022
40,164.32,02/20/2022
41,164.32,02/21/2022
42,164.32,02/22/2022
43,160.07,02/23/2022
44,162.74,02/24/2022
45,164.85,02/25/2022
46,165.12,02/26/2022
47,165.12,02/27/2022
48,165.12,02/28/2022
49,163.2,03/01/2022
50,166.56,03/02/2022
51,166.23,03/03/2022
52,163.17,03/04/2022
53,159.3,03/05/2022
54,159.3,03/06/2022
55,159.3,03/07/2022
56,157.44,03/08/2022
57,162.95,03/09/2022
58,158.52,03/10/2022
59,154.73,03/11/2022
60,150.62,03/12/2022
61,150.62,03/13/2022
62,150.62,03/14/2022
63,155.09,03/15/2022
64,159.59,03/16/2022
65,160.62,03/17/2022
66,163.98,03/18/2022
67,165.38,03/19/2022
68,165.38,03/20/2022
69,165.38,03/21/2022
70,168.82,03/22/2022
71,170.21,03/23/2022
72,174.07,03/24/2022
73,174.72,03/25/2022
74,175.6,03/26/2022
75,175.6,03/27/2022
76,175.6,03/28/2022
77,178.96,03/29/2022
78,177.77,03/30/2022
79,174.61,03/31/2022
80,174.31,04/01/2022
81,178.44,04/02/2022
82,178.44,04/03/2022
83,178.44,04/04/2022
84,175.06,04/05/2022
85,171.83,04/06/2022
86,172.14,04/07/2022
87,170.09,04/08/2022
88,165.75,04/09/2022
89,165.75,04/10/2022
90,165.75,04/11/2022
