,values,times
0,51,"Jan 3, 2022"
1,51,"Jan 4, 2022"
2,54,"Jan 5, 2022"
3,65,"Jan 6, 2022"
4,61,"Jan 7, 2022"
5,53,"Jan 8, 2022"
6,50,"Jan 9, 2022"
7,54,"Jan 10, 2022"
8,60,"Jan 11, 2022"
9,59,"Jan 12, 2022"
10,64,"Jan 13, 2022"
11,63,"Jan 14, 2022"
12,55,"Jan 15, 2022"
13,56,"Jan 16, 2022"
14,59,"Jan 17, 2022"
15,58,"Jan 18, 2022"
16,55,"Jan 19, 2022"
17,59,"Jan 20, 2022"
18,63,"Jan 21, 2022"
19,50,"Jan 22, 2022"
20,52,"Jan 23, 2022"
21,56,"Jan 24, 2022"
22,61,"Jan 25, 2022"
23,60,"Jan 26, 2022"
24,56,"Jan 27, 2022"
25,61,"Jan 28, 2022"
26,52,"Jan 29, 2022"
27,49,"Jan 30, 2022"
28,55,"Jan 31, 2022"
29,55,"Feb 1, 2022"
30,59,"Feb 2, 2022"
31,56,"Feb 3, 2022"
32,58,"Feb 4, 2022"
33,50,"Feb 5, 2022"
34,46,"Feb 6, 2022"
35,51,"Feb 7, 2022"
36,56,"Feb 8, 2022"
37,54,"Feb 9, 2022"
38,55,"Feb 10, 2022"
39,59,"Feb 11, 2022"
40,58,"Feb 12, 2022"
41,61,"Feb 13, 2022"
42,100,"Feb 14, 2022"
43,62,"Feb 15, 2022"
44,55,"Feb 16, 2022"
45,51,"Feb 17, 2022"
46,56,"Feb 18, 2022"
47,49,"Feb 19, 2022"
48,47,"Feb 20, 2022"
49,48,"Feb 21, 2022"
50,52,"Feb 22, 2022"
51,53,"Feb 23, 2022"
52,61,"Feb 24, 2022"
53,59,"Feb 25, 2022"
54,48,"Feb 26, 2022"
55,47,"Feb 27, 2022"
56,47,"Feb 28, 2022"
57,52,"Mar 1, 2022"
58,55,"Mar 2, 2022"
59,53,"Mar 3, 2022"
60,51,"Mar 4, 2022"
61,47,"Mar 5, 2022"
62,48,"Mar 6, 2022"
63,49,"Mar 7, 2022"
64,56,"Mar 8, 2022"
65,54,"Mar 9, 2022"
66,56,"Mar 10, 2022"
67,54,"Mar 11, 2022"
68,48,"Mar 12, 2022"
69,46,"Mar 13, 2022"
70,47,"Mar 14, 2022"
71,50,"Mar 15, 2022"
72,54,"Mar 16, 2022"
73,57,"Mar 17, 2022"
74,55,"Mar 18, 2022"
75,49,"Mar 19, 2022"
76,48,"Mar 20, 2022"
77,52,"Mar 21, 2022"
78,50,"Mar 22, 2022"
79,49,"Mar 23, 2022"
80,54,"Mar 24, 2022"
81,56,"Mar 25, 2022"
82,49,"Mar 26, 2022"
83,47,"Mar 27, 2022"
84,75,"Mar 28, 2022"
85,64,"Mar 29, 2022"
86,62,"Mar 30, 2022"
87,56,"Mar 31, 2022"
88,0,"Apr 1, 2022"
