,values,times
0,0,01/13/2022
1,1,01/14/2022
2,1,01/15/2022
3,1,01/16/2022
4,1,01/17/2022
5,1,01/18/2022
6,1,01/19/2022
7,2,01/20/2022
8,2,01/21/2022
9,2,01/22/2022
10,2,01/23/2022
11,4,01/24/2022
12,3,01/25/2022
13,3,01/26/2022
14,2,01/27/2022
15,2,01/28/2022
16,2,01/29/2022
17,2,01/30/2022
18,2,01/31/2022
19,1,02/01/2022
20,1,02/02/2022
21,1,02/03/2022
22,1,02/04/2022
23,1,02/05/2022
24,1,02/06/2022
25,2,02/07/2022
26,1,02/08/2022
27,1,02/09/2022
28,1,02/10/2022
29,3,02/11/2022
30,6,02/12/2022
31,6,02/13/2022
32,6,02/14/2022
33,7,02/15/2022
34,5,02/16/2022
35,5,02/17/2022
36,6,02/18/2022
37,8,02/19/2022
38,8,02/20/2022
39,10,02/21/2022
40,17,02/22/2022
41,12,02/23/2022
42,100,02/24/2022
43,74,02/25/2022
44,64,02/26/2022
45,59,02/27/2022
46,52,02/28/2022
47,45,03/01/2022
48,39,03/02/2022
49,34,03/03/2022
50,32,03/04/2022
51,27,03/05/2022
52,25,03/06/2022
53,24,03/07/2022
54,20,03/08/2022
55,19,03/09/2022
56,18,03/10/2022
57,16,03/11/2022
58,15,03/12/2022
59,16,03/13/2022
60,15,03/14/2022
61,14,03/15/2022
62,13,03/16/2022
63,12,03/17/2022
64,11,03/18/2022
65,11,03/19/2022
66,11,03/20/2022
67,11,03/21/2022
68,10,03/22/2022
69,9,03/23/2022
70,10,03/24/2022
71,9,03/25/2022
72,9,03/26/2022
73,8,03/27/2022
74,8,03/28/2022
75,8,03/29/2022
76,7,03/30/2022
77,6,03/31/2022
78,6,04/01/2022
79,6,04/02/2022
80,7,04/03/2022
81,7,04/04/2022
82,7,04/05/2022
83,6,04/06/2022
84,6,04/07/2022
85,6,04/08/2022
86,6,04/09/2022
87,6,04/10/2022
88,0,04/11/2022
